" Bowling Green State University. Center for Archival Collections.""", Jerome Library 5th Floor, Bowling Green,OH,43403-0175 ,419/372-2411,Fax 419/372-0155,, ," Tues. - Friday 8:00am till 5:00pm, Monday 8:00 am - 9:00 pm during academic year; M-F, 8 am-5pm in summer.","Research, preservation, conservation, microfilm.", http://www.bgsu.edu/colleges/library/cac.html ,,,,,,,
 Toledo Ballet ," 5001 Monroe St., Suite R-20 (Inside Westfield Mall)", Toledo,OH,43623,419/471-0049, 419/471-9005 (Fax),Mari Davies,Executive Director ," Monday through Friday, 9am-5pm ","The Toledo Ballet was founded in 1939 and has trained dancers for 70 years and is Northwest Ohio's premier ballet school. Toledo Ballet School is an official ABT curriculum school. Classes are offered to ages ranging from 3 years old to senior citizens, with ballet as our primary focus. Toledo Ballet also offers jazz, modern, character, contemporary fusion, variations, pas-de-deux, tap, musical theatre, yoga, pilates, corrective exercises, adaptive dance (for youth with Down Syndrome), as well as classes for adults. The Toledo Ballet produces 2 major performances each season. Produces the USA's longest-running Nutcracker"" and is accompanied by the Toledo Symphony each December.""", http://www.toledoballet.net ,,,,,,,
" Toledo Community Foundation, Inc."," 300 Madison Ave., Ste. 1300", Toledo,OH,43604-1151 ,419/241-5049,Fax 419/242-5549,"Keith Burwell,",President ," 8:30-5:00, Mon-Fri.","A public charitable organization that provides grants to support a variety of programs and services in the fields of education, social services, physical and mental health, neighborhood and urban affairs, natural resources and the arts. | The Foundation has particular interest in providing seed monies for new projects and programs designed to meet pressing community needs.", http://www.toledocf.org ,,,,,,,
 Maumee Senior Center., 2430 S. Detroit Ave., Maumee,OH,43537,419/893-1994,Fax 419/893-9616,Malinda Ruble,Executive Director , Monday - Thursday 9:00am to 5:00pm. Friday-9:00-4:30.,"We offer recreational, educational and supportive services for seniors in the Maumee area, Lucas County and surrounding area.", http://www.maumeeseniorcenter.com ,,,,,,,
 Landmarks Preservation Council of Northwest Ohio," Toledo-Lucas Co Pub Library, Local History Dept", Toledo,Ohio,43604,,,, , Meet the third Wednesday of each month. 6p.m. Meeting place varies.,Purpose is to protect and preserve significant examples of our architectural heritage and to heighten public appreciation of this heritage., ,,,,,,,
 West Side Montessori Center., 7115 W. Bancroft, Toledo,OH,43615,419/866-1931,Fax 419/866-4310,Anne Spenny,Admission Director ," 7:00 am-6:00 pm, Monday-Friday.","Private, non-profit school for children ages 13 months through the eighth grade. Part-time and all day programs during school year, camps during the summer. Outdoor/indoor, age appropriate playgrounds. Curriculum is age appropriate and based on a 'hands on' approach to math, language arts, science, geography, art, music, everyday living skills and physical education. Mixed age classrooms encourage the children to teach, help and collaborate with each other. The older children become role models for younger children. Montessori philosophy promotes mutual respect, social responsibility, self-reliance, natural curiosity and a love of learning.", http://www.wsmctoledo.org ,,,,,,,
 Toledo Schwabischer Unterstutzungs Verein.," Group meets at Oak Shade Grove, 3624 Seaman St.", Oregon,OH,43616,419-360-4267,,Hans Ersepke, ," First Friday each month, 8 pm.","The purpose of the society is to support the active membership in sickness, and its survivors in case of death. | To keep alive and nurture pride in our German heritage, and to support the German American Festival Society. | Last week of March is the Bockbier Fest, last weekend of August is the German Fest (2 days Sat. & Sun.) and second Sunday of November is the Harvest Fest all at Oak Shade Grove, end of July is Wald fest.", ,,,,,,,
 Rotary Club of Perrysburg, Group meets at Carranor Hunt & Polo Club 502 E. 2nd St., Perrysburg,OH,43551,,,"Ashley Lopez, ashley.lopez@perrysburgrotary.org", ," Fridays, 11:45 am.","Provide community service - vocational and international services. | Annual project is a charity auction by invitation only. Service projects include initiatives in schools, particularly at Penta Career Center, Owens Community College and Perrysburg Schools. Philanthropy is driven by Perrysburg Rotary Service Foundation. Requests for support should by forwarded to the club in care of the club president. Gives scholarships, support student tutoring K-12. Sponsored Membership, everyone is welcome to fill out a membership proposal form.", http://www.perrysburgrotary.org ,,,,,,,
 Rotary Club. Sylvania," Group meets at Mancy's Italian Grill, 5453 Monroe St."," Sylvania,",Ohio,43560,,,, ," Every Thursday, 11:45-1:00pm.",Service organization., http://sylvaniarotaryclub.org ,,,,,,,
 Toledo Poznan Alliance., P. O. Box 2555, Toledo,Ohio,43606,567-455-6865,,Sr. Ann Francis Klimkowski, , 5:30 pm. Days rotate; Tri-monthly.,"Educational exchanges with our sister city of Poznan, Poland also cultural exchanges, supporting in Poznan, Poland, annual Dozynki, a harvest celebration with dinner and entertainment, annual meeting for all membership with social hour.", ,,,,,,,
 Local Initiatives Support Corporation., 245 N. Superior St. 2nd floor, Toledo,OH,43604,419/242-3836,Fax 419/242-8255,"Hugh W. Grefe,",Executive Director ," 9:00 am-5 pm, M-F.",A nonprofit organization working to assist Community Development Corporations in their efforts to transform distressed neighborhoods into healthy communities., http://toledolisc.org ,,,,,,,
 Waterville Area Chamber of Commerce., P. O. Box 74, Waterville,OH,43566,419/878-5188,Fax 419/878-5199,Corina Pfleghaar, ," 10am - 4pm or by appointment. Monday, Wednesday, and Friday.","Supports local businesses, provides business grants and sponsors community events like Waterville Community Garage Sale, Roche de Boeuf Festival, Christmas Along the River ", http://www.watervillechamber.com ,,,,,,,
 Wildwood Manor House., 5100 W. Central Ave., Toledo,OH,43615,419-407-9700,Fax 419/535-3053,Shannon Hughes, ," Tours: Jan. - March 12 - 5. April - Oct. Tuesday - Friday, & Sunday 12 - 5 pm. Rental available, call for info.","Historic house tours, rental, music programs, education. Rental Jan. - Oct. on Saturdays.", http://www.metroparkstoledo.com ,,,,,,,
 Press Club of Toledo., P. O. Box 2469 Kenwood Station, Toledo,OH,43606,419 578-2441,,Mark Luetke[President], , ,"Promote fellowship among representatives of the information media and allied fields, promote the advancement of ethical journalism, promote fellowship among those who report current events and those in positions to dictate events to be reported, promote journalism and public relations education with programs and scholarships.", http://www.toledopressclub.com ,,,,,,,
 Toledo Area Military Officers Association of America., , Toledo,OH,43623,,,, , Meets every Tuesday for informal lunch and the third Thursday quarterly.,"A nonprofit organization operated to benefit uniformed services personnel, their families and survivors. Is dedicated to maintaining a strong national defense and preserving the earned entitlements and benefits of all members.", http://www.tamoaa.net ,,,,,,,
 Toledo Trucking Association., , Toledo,OH ,43612,419-269-0002,Fax: 419-269-0018,,President - Dave Black ," First Thursday of each month, 12 noon,","To promote ground transportation (trucking) in the Toledo area, are involved in issues concerning safety, public relations, negative press.", http://www.toledotrucking.com ,,,,,,,
 Toledo Swiss Ladies Society., Group meets at Oak Shade Grove Park, Oregon,Ohio, ,,,, ," Second Tuesday of each month, 7:30 pm.","Interest is sociability, preserve Swiss Culture, fraternal insurance. Are part of the North American Swiss Alliance and also belong to the German American Festival Society. | Are a non-profit organization and donate to approximately ten charities each year.", ,,,,,,,
 Funeral Directors' Association of Northwestern Ohio Inc., Group meets at Giorgio's Cafe International., ,, ,,,, ," Third Monday of the month, 4:45 trustee meeting 6:00pm","A service organization to provide continuing education and other services to the funeral directors of northwest Ohio and to elevate and maintain standards of integrity, honesty and courtesy in the funeral director profession.", ,,,,,,,
 Toledo Roadrunners Club., Alternate meetings at Toledo-Lucas County Public L, ,, ,,,, , 1st Tuesday of the month 6:30 pm.,"Supports runners in the area, direct road races, educational activities, good health in the communities, sponsor club runs.", http://www.toledoroadrunners.org ,,,,,,,
 Supper club, Group meets at various locations for dinner., ,, ,"419-893-1994, ask for Jane in Outreach.",,Maumee Senior Center, ," Third Wednesday of each month, 5:00 pm,","Social group designed for older persons, singles or couples and who feel ready to get out and seek new friendships and social interaction. Activities planned on a monthly basis - usually going out to dinner on the third Wednesday of each month.", ,,,,,,,
 Toledo Astronomical Association.," Group meets at University of Toledo, McMaster Hall", ,, ,,,, ," First Friday of each month at 7:30 p.m., except January, July and August.","Astronomy, including but not limited to, scope building, observing, astrophotography - astronomical education for groups of all ages. Promotes astronomy and its study. Conducts viewings at Sylvania Prairie, Sylvania and Beaner, Beaver Creek, Grand Rapids.", http://www.toledoastronomy.org ,,,,,,,
 Rosary Cathedral School and Preschool, 2535 Collingwood Blvd., Toledo,OH,43610,419/243-4396,FAX: 419-243-6049,Sarah Cullum,Principal. ," 8:00 am-3:15 pm, Monday - Friday. ","K-8 Outdoor playground area, gym, cafeteria, program area. | No afterschool program.", http://www.rosarycathedralschool.org ,,,,,,,
 Auburn-Delaware Residents Association.," Meet at Macedonia Baptist Church, 1501 S. Cove", Toledo,OH,43606,419-255-0327,ellataylor703@gmail.com,Ella Taylor,Chairman. ," Fourth Tuesday of the month, 6:00 pm-7 pm. Not Dec. thru Feb.","To do our best to maintain a safe, clean neighborhood. To address issues and concerns of our residents, to work with our CSO officer and the police to fight crime and drugs in our area. We have an active Block Watch.", ,,,,,,,
 Greenhill Residential Association.," Group meets usually at St Jude Church, Victory Drive", ,, ,419-472-2140,,General Bobbitt,Treasurer ," Entire membership on alternate months at 5:30pm, 4th Tuesday.","A homeowners association, dedicated to preservation of neighborhood. Located adjacent to University of Toledo, frequently meets with UT representatives to promote Town/Gown awareness and maintain cordial relations between students and neighbors. ", ,,,,,,,
 Indian Hills Neighborhood Association.," Group meets as needed, place varies.", ,, ,,,, , ,"A neighborhood association, advocate for the health, safety and welfare of residents and property owners, maintaining a quality neighborhood. Social activities include, garage sales, ice cream socials, holiday parties and open house.", ,,,,,,,
 Lincoln Lawrence Coalition., Group meets at various places, ,, ,,,, , Day and time varies.,"Neighborhood, Community organizing.", ,,,,,,,
 Samagama Club of Presidents.," Group meets at Aldersgate UM, 4030 Douglas Rd. (Nov., Jan., Feb., March, & April) or Brandywine Country Club (Oct., Dec., & May)", ,, ,,,, ," Third Wednesday of each month, Oct. - May 12 noon.","Purpose is fellowship, informative speakers, excellent musical talent. Meetings at Brandywine are all - musical.", ,,,,,,,
" Links, Inc.Toledo Chapter.", P. O Box 352553, Toledo,OH,43615,419-297-1554 (2013-14),,Cynthia Tetterton-Williams (Corresponding Secretary 2013-14), ," First Saturday of the month, 9:30 am.Group meets monthly August through June at various locations.","A volunteer service organization of concerned, committed, and talented women who are primarily involved in programs and activities focusing on services to youths, national trends, health, international trends, and arts.", ,,,,,,,
 Teamsters Joint Council #44. Retirees To Action Club," Group meets at Teamsters Local 20, 435 S. Hawley", Toledo,Ohio,43609,734-652-4215,,, ," First Tuesday each month, 1 pm. Except June, July & August.","Fellowship and some political action. Refreshments at meetings, sometimes light lunch. Xmas party in December.", ,,,,,,,
